Arboreal	Non-arboreal	Semi-arboreal
165	0.599	0.097	0.304
166	0.017	0.924	0.059
167	0.718	0.114	0.168
168	0.745	0.052	0.203
169	0.001	0.955	0.044
170	0.819	0.004	0.177
171	0.896	0	0.104
172	0.882	0	0.118
173	0.535	0	0.465
174	0.792	0.003	0.205
175	0.754	0.005	0.241
176	0.619	0.032	0.349
177	0.524	0.062	0.414
178	0.215	0.255	0.53
179	0.015	0.831	0.154
180	0	0.979	0.021
181	0.861	0	0.139
182	0.756	0.024	0.22
183	0.891	0	0.109
184	0.887	0	0.113
185	0.073	0.573	0.354
186	0.009	0.809	0.182
187	0.937	0	0.063
188	0.953	0	0.047
189	0.966	0	0.034
190	0.897	0.002	0.101
191	0.258	0.061	0.681
192	0.231	0.019	0.75
193	0.016	0.09	0.894
194	0.01	0.534	0.456
195	0.007	0.657	0.336
196	0.003	0.938	0.059
197	0.008	0.711	0.281
198	0.004	0.1	0.896
199	0.009	0.131	0.86
200	0.036	0.511	0.453
201	0.036	0.343	0.621
202	0.079	0.341	0.58
203	0.004	0.603	0.393
204	0.006	0.605	0.389
205	0.004	0.653	0.343
206	0.002	0.832	0.166
207	0.001	0.892	0.107
208	0.011	0.486	0.503
209	0.001	0.567	0.432
210	0.002	0.49	0.508
211	0.002	0.458	0.54
212	0.005	0.46	0.535
213	0.001	0.623	0.376
214	0	0.937	0.063
215	0	0.973	0.027
216	0.004	0.101	0.895
217	0.032	0.016	0.952
218	0.043	0.004	0.953
219	0.043	0.012	0.945
220	0.029	0.082	0.889
221	0.031	0.141	0.828
222	0.035	0.184	0.781
223	0.049	0.003	0.948
224	0.168	0.001	0.831
225	0.146	0.006	0.848
226	0.131	0.01	0.859
227	0.09	0.062	0.848
228	0.091	0.064	0.845
229	0.063	0.047	0.89
230	0.028	0.034	0.938
231	0.969	0	0.031
232	0.009	0.29	0.701
233	0.029	0.353	0.618
234	0.01	0.422	0.568
235	0.011	0.66	0.329
236	0.003	0.158	0.839
237	0.005	0.766	0.229
238	0.005	0.825	0.17
239	0	0.824	0.176
240	0	0.858	0.142
241	0	0.961	0.039
242	0	0.922	0.078
243	0	0.965	0.035
244	0	0.997	0.003
245	0	0.997	0.003
246	0	0.996	0.004
247	0	0.997	0.003
248	0	0.938	0.062
249	0	0.997	0.003
250	0	0.997	0.003
251	0	0.999	0.001
252	0	0.997	0.003
253	0	1	0
254	0	0.998	0.002
255	0	1	0
256	0	0.999	0.001
257	0	1	0
258	0	0.997	0.003
259	0	0.998	0.002
260	0	0.998	0.002
261	0.444	0.004	0.552
262	0.423	0.005	0.572
263	0.708	0.015	0.277
264	0.213	0.065	0.722
265	0.057	0.7	0.243
266	0.022	0.188	0.79
267	0.009	0.272	0.719
268	0.01	0.484	0.506
269	0	0.904	0.096
270	0.01	0.284	0.706
271	0.096	0.281	0.623
272	0.005	0.737	0.258
273	0.002	0.892	0.106
274	0	0.964	0.036
275	0	0.991	0.009
276	0	0.992	0.008
277	0.019	0.201	0.78
278	0.103	0.178	0.719
279	0.101	0.262	0.637
280	0.007	0.6	0.393
281	0.014	0.846	0.14
282	0	0.939	0.061
283	0	0.958	0.042
284	0	0.971	0.029
285	0	0.985	0.015
286	0	0.972	0.028
287	0	0.984	0.016
288	0	0.985	0.015
289	0	0.988	0.012
290	0	0.988	0.012
291	0	0.99	0.01
292	0	0.95	0.05
293	0	0.972	0.028
294	0	0.969	0.031
295	0	0.988	0.012
296	0	0.989	0.011
297	0	0.994	0.006
298	0.655	0.001	0.344
299	0.994	0	0.006
300	0.857	0	0.143
301	0.925	0.001	0.074
302	0.918	0.001	0.081
303	0.995	0	0.005
304	0.997	0	0.003
305	0.673	0.002	0.325
306	0.644	0.003	0.353
307	0.974	0	0.026
308	0.981	0	0.019
309	0.979	0	0.021
310	0.969	0	0.031
311	0.973	0	0.027
312	0.251	0.086	0.663
313	0.528	0.061	0.411
314	0.702	0.026	0.272
315	0.956	0.001	0.043
316	0.645	0.043	0.312
317	0.008	0.748	0.244
318	0.002	0.819	0.179
319	0.002	0.832	0.166
320	0.002	0.905	0.093
321	0	0.986	0.014
322	0.003	0.947	0.05
323	0	0.909	0.091
324	0.001	0.965	0.034
325	0	0.932	0.068
326	0	0.997	0.003
327	0	0.999	0.001
