Arboreal	Non-arboreal	Semi-arboreal
165	0.122	0.774	0.104
166	0.012	0.972	0.016
167	0.114	0.819	0.067
168	0.194	0.786	0.02
169	0.001	0.999	0
170	0.23	0.756	0.014
171	0.778	0.036	0.186
172	0.766	0.027	0.207
173	0.118	0.008	0.874
174	0.233	0.765	0.002
175	0.217	0.781	0.002
176	0.113	0.885	0.002
177	0.067	0.932	0.001
178	0.007	0.988	0.005
179	0.003	0.996	0.001
180	0	1	0
181	0.447	0.55	0.003
182	0.449	0.544	0.007
183	0.541	0.455	0.004
184	0.55	0.447	0.003
185	0.048	0.949	0.003
186	0.006	0.994	0
187	0.935	0.065	0
188	0.985	0.014	0.001
189	0.993	0.007	0
190	0.575	0.346	0.079
191	0.006	0.994	0
192	0.004	0.996	0
193	0	1	0
194	0	1	0
195	0	1	0
196	0.002	0.997	0.001
197	0.003	0.996	0.001
198	0	1	0
199	0	1	0
200	0.006	0.855	0.139
201	0	1	0
202	0.007	0.989	0.004
203	0	0.999	0.001
204	0.001	0.989	0.01
205	0	1	0
206	0	1	0
207	0	1	0
208	0	1	0
209	0	0.999	0.001
210	0.003	0.994	0.003
211	0.007	0.986	0.007
212	0.006	0.984	0.01
213	0	0.999	0.001
214	0	1	0
215	0	0.999	0.001
216	0	1	0
217	0.001	0.999	0
218	0.001	0.998	0.001
219	0.001	0.998	0.001
220	0	0.999	0.001
221	0	0.999	0.001
222	0.002	0.99	0.008
223	0	0.991	0.009
224	0.03	0.934	0.036
225	0.028	0.91	0.062
226	0.023	0.913	0.064
227	0.019	0.883	0.098
228	0.019	0.897	0.084
229	0.002	0.981	0.017
230	0.003	0.995	0.002
231	0.98	0.018	0.002
232	0	0.994	0.006
233	0.005	0.958	0.037
234	0	0.992	0.008
235	0.003	0.964	0.033
236	0	1	0
237	0	1	0
238	0	1	0
239	0	1	0
240	0	1	0
241	0.001	0.997	0.002
242	0	1	0
243	0.002	0.998	0
244	0	1	0
245	0	1	0
246	0.001	0.999	0
247	0	1	0
248	0	1	0
249	0	1	0
250	0	1	0
251	0	1	0
252	0	1	0
253	0	1	0
254	0	1	0
255	0	1	0
256	0	1	0
257	0	1	0
258	0	1	0
259	0	1	0
260	0	1	0
261	0.088	0.91	0.002
262	0.084	0.914	0.002
263	0.27	0.515	0.215
264	0.024	0.975	0.001
265	0.006	0.989	0.005
266	0	1	0
267	0	1	0
268	0.001	0.997	0.002
269	0.002	0.998	0
270	0	1	0
271	0.029	0.966	0.005
272	0	1	0
273	0	1	0
274	0	1	0
275	0	1	0
276	0	0.999	0.001
277	0	1	0
278	0.021	0.965	0.014
279	0.021	0.938	0.041
280	0	1	0
281	0	1	0
282	0	1	0
283	0	1	0
284	0	1	0
285	0	0.999	0.001
286	0	1	0
287	0	1	0
288	0	1	0
289	0	1	0
290	0	1	0
291	0	1	0
292	0	0.995	0.005
293	0	0.998	0.002
294	0	0.998	0.002
295	0	1	0
296	0	1	0
297	0	0.999	0.001
298	0.59	0.405	0.005
299	1	0	0
300	0.917	0.079	0.004
301	0.956	0.038	0.006
302	0.977	0.013	0.01
303	1	0	0
304	1	0	0
305	0.921	0.035	0.044
306	0.912	0.064	0.024
307	0.999	0.001	0
308	0.995	0.003	0.002
309	0.999	0.001	0
310	0.989	0.002	0.009
311	0.99	0.002	0.008
312	0.006	0.993	0.001
313	0.139	0.853	0.008
314	0.337	0.655	0.008
315	0.951	0.047	0.002
316	0.352	0.636	0.012
317	0	1	0
318	0	1	0
319	0	1	0
320	0.002	0.996	0.002
321	0.001	0.999	0
322	0.001	0.998	0.001
323	0	0.994	0.006
324	0.007	0.898	0.095
325	0.001	0.993	0.006
326	0	0.999	0.001
327	0	1	0
