Arboreal	Non-arboreal	Semi-arboreal
165	0.285	0.385	0.33
166	0.02	0.906	0.074
167	0.29	0.448	0.262
168	0.004	0.774	0.222
169	0.001	0.756	0.243
170	0	0.772	0.228
171	0	0.805	0.195
172	0	0.827	0.173
173	0.001	0.839	0.16
174	0.004	0.915	0.081
175	0	0.768	0.232
176	0	0.875	0.125
177	0	0.958	0.042
178	0.001	0.968	0.031
179	0.001	0.969	0.03
180	0	0.968	0.032
181	0	0.982	0.018
182	0	0.969	0.031
183	0	0.987	0.013
184	0	0.984	0.016
185	0	0.998	0.002
186	0	1	0
187	0	1	0
188	0	1	0
189	0	0.998	0.002
190	0	0.998	0.002
191	0	0.998	0.002
192	0	0.999	0.001
193	0	0.999	0.001
194	0	1	0
195	0	0.997	0.003
196	0	0.997	0.003
197	0	0.988	0.012
198	0	1	0
199	0	0.999	0.001
200	0	1	0
201	0	1	0
202	0.004	0.872	0.124
203	0.003	0.899	0.098
204	0.007	0.821	0.172
205	0	0.879	0.121
206	0	0.943	0.057
207	0	0.974	0.026
208	0	0.985	0.015
209	0	0.844	0.156
210	0.002	0.917	0.081
211	0	0.906	0.094
212	0	0.896	0.104
213	0	0.989	0.011
214	0	0.996	0.004
215	0	0.831	0.169
216	0.005	0.78	0.215
217	0.005	0.774	0.221
218	0.015	0.768	0.217
219	0.022	0.187	0.791
220	0.02	0.131	0.849
221	0.011	0.182	0.807
222	0.023	0.245	0.732
223	0.001	0.406	0.593
224	0.002	0.454	0.544
225	0.004	0.461	0.535
226	0.087	0.075	0.838
227	0.116	0.047	0.837
228	0.106	0.05	0.844
229	0.108	0.049	0.843
230	0.081	0.14	0.779
231	0.079	0.146	0.775
232	0.044	0.178	0.778
233	0.018	0.254	0.728
234	0.01	0.288	0.702
235	0.012	0.31	0.678
236	0.02	0.364	0.616
237	0.927	0.009	0.064
238	0.048	0.635	0.317
239	0.727	0.065	0.208
240	0.852	0.023	0.125
241	0.994	0	0.006
242	0.857	0.023	0.12
243	0.894	0.01	0.096
244	0.985	0	0.015
245	0.993	0.001	0.006
246	0.995	0	0.005
247	0.979	0	0.021
248	0.973	0	0.027
249	0.912	0.008	0.08
250	0.894	0.003	0.103
251	0.996	0	0.004
252	0.997	0	0.003
253	0.676	0.009	0.315
254	0.612	0.045	0.343
255	0.002	0.776	0.222
256	0.002	0.794	0.204
257	0.002	0.798	0.2
258	0.042	0.733	0.225
259	0.039	0.733	0.228
260	0.001	0.832	0.167
261	0.004	0.93	0.066
262	0	0.976	0.024
263	0	0.976	0.024
264	0	0.977	0.023
265	0.001	0.979	0.02
266	0	0.98	0.02
267	0	0.994	0.006
268	0	0.994	0.006
269	0	0.99	0.01
270	0	0.979	0.021
271	0	0.987	0.013
272	0	0.988	0.012
273	0	0.985	0.015
274	0	0.984	0.016
275	0	0.958	0.042
276	0	0.971	0.029
277	0	0.984	0.016
278	0.001	0.906	0.093
279	0.096	0.699	0.205
280	0	0.921	0.079
281	0	0.939	0.061
282	0.001	0.962	0.037
283	0.001	0.972	0.027
284	0.001	0.967	0.032
285	0.001	0.972	0.027
286	0	0.955	0.045
287	0	0.975	0.025
288	0.007	0.891	0.102
289	0.001	0.79	0.209
290	0.092	0.636	0.272
291	0.278	0.432	0.29
292	0.31	0.435	0.255
293	0.914	0.017	0.069
294	0	0.829	0.171
295	0.001	0.908	0.091
296	0.004	0.69	0.306
297	0.001	0.911	0.088
298	0	0.999	0.001
299	0	0.999	0.001
300	0	0.862	0.138
301	0	0.875	0.125
302	0.007	0.912	0.081
303	0.005	0.91	0.085
304	0	0.987	0.013
305	0.42	0.268	0.312
306	0.003	0.925	0.072
307	0.437	0.24	0.323
308	0.829	0.008	0.163
309	0.822	0.003	0.175
310	0.675	0.006	0.319
311	0.355	0.208	0.437
312	0.302	0.217	0.481
313	0.205	0.298	0.497
314	0.177	0.357	0.466
315	0.006	0.902	0.092
316	0	0.976	0.024
317	0.025	0.835	0.14
318	0.543	0.09	0.367
319	0.504	0.183	0.313
320	0.654	0.032	0.314
321	0.693	0.031	0.276
322	0.653	0.032	0.315
323	0.031	0.7	0.269
324	0.005	0.875	0.12
325	0.917	0.004	0.079
326	0.973	0.002	0.025
327	0.975	0.002	0.023
