Arboreal	Non-arboreal	Semi-arboreal
165	0.081	0.825	0.094
166	0.012	0.966	0.022
167	0.068	0.855	0.077
168	0	0.999	0.001
169	0	1	0
170	0	1	0
171	0	1	0
172	0	1	0
173	0.001	0.999	0
174	0.003	0.995	0.002
175	0	1	0
176	0	1	0
177	0	1	0
178	0.001	0.999	0
179	0	0.999	0.001
180	0	1	0
181	0	1	0
182	0	0.998	0.002
183	0	1	0
184	0	1	0
185	0	1	0
186	0	1	0
187	0	1	0
188	0	1	0
189	0	1	0
190	0	1	0
191	0	1	0
192	0	1	0
193	0	1	0
194	0	1	0
195	0	1	0
196	0	1	0
197	0	1	0
198	0	1	0
199	0	1	0
200	0	1	0
201	0	1	0
202	0.001	0.995	0.004
203	0	0.999	0.001
204	0.006	0.991	0.003
205	0	0.999	0.001
206	0	1	0
207	0	1	0
208	0	1	0
209	0	0.989	0.011
210	0	1	0
211	0	1	0
212	0	1	0
213	0	1	0
214	0	1	0
215	0	0.991	0.009
216	0	0.967	0.033
217	0	0.965	0.035
218	0.007	0.902	0.091
219	0.002	0.998	0
220	0.001	0.996	0.003
221	0.001	0.996	0.003
222	0.003	0.979	0.018
223	0	0.998	0.002
224	0	0.997	0.003
225	0	0.992	0.008
226	0.063	0.918	0.019
227	0.083	0.867	0.05
228	0.078	0.864	0.058
229	0.078	0.862	0.06
230	0.063	0.853	0.084
231	0.06	0.85	0.09
232	0.005	0.994	0.001
233	0	0.997	0.003
234	0	1	0
235	0	1	0
236	0.003	0.953	0.044
237	0.959	0.033	0.008
238	0.025	0.974	0.001
239	0.861	0.133	0.006
240	0.911	0.062	0.027
241	0.997	0	0.003
242	0.894	0.039	0.067
243	0.978	0.02	0.002
244	0.997	0.001	0.002
245	1	0	0
246	0.999	0	0.001
247	0.991	0	0.009
248	0.983	0	0.017
249	0.985	0.013	0.002
250	0.981	0.005	0.014
251	0.999	0	0.001
252	1	0	0
253	0.912	0.025	0.063
254	0.905	0.063	0.032
255	0	1	0
256	0	1	0
257	0	1	0
258	0.026	0.945	0.029
259	0.02	0.882	0.098
260	0	1	0
261	0	0.998	0.002
262	0	1	0
263	0	1	0
264	0	0.999	0.001
265	0	1	0
266	0	1	0
267	0	1	0
268	0	1	0
269	0	1	0
270	0	1	0
271	0	1	0
272	0	1	0
273	0	1	0
274	0	1	0
275	0	0.993	0.007
276	0	1	0
277	0	1	0
278	0	1	0
279	0.085	0.894	0.021
280	0	1	0
281	0	1	0
282	0	1	0
283	0	1	0
284	0	0.999	0.001
285	0	0.999	0.001
286	0	0.999	0.001
287	0	0.998	0.002
288	0.002	0.996	0.002
289	0	0.999	0.001
290	0.048	0.943	0.009
291	0.204	0.772	0.024
292	0.236	0.736	0.028
293	0.93	0.054	0.016
294	0	1	0
295	0	0.998	0.002
296	0	0.999	0.001
297	0	0.998	0.002
298	0	1	0
299	0	1	0
300	0	1	0
301	0	1	0
302	0.002	0.996	0.002
303	0.003	0.996	0.001
304	0	0.999	0.001
305	0.157	0.787	0.056
306	0.005	0.988	0.007
307	0.166	0.781	0.053
308	0.593	0.057	0.35
309	0.587	0.046	0.367
310	0.228	0.027	0.745
311	0.162	0.82	0.018
312	0.154	0.834	0.012
313	0.092	0.895	0.013
314	0.08	0.904	0.016
315	0.003	0.992	0.005
316	0	1	0
317	0.039	0.837	0.124
318	0.378	0.614	0.008
319	0.395	0.585	0.02
320	0.503	0.483	0.014
321	0.528	0.4	0.072
322	0.504	0.481	0.015
323	0.026	0.969	0.005
324	0.002	0.996	0.002
325	0.877	0.095	0.028
326	0.908	0.051	0.041
327	0.919	0.042	0.039
