Arboreal	Non-arboreal	Semi-arboreal
165	0.8552	0.008	0.1368
166	0.0168	0.9102	0.073
167	0.8848	0.0174	0.0978
168	0.8276	0.0174	0.155
169	2e-04	0.9592	0.0406
170	0.8848	0.0012	0.114
171	0.9338	0	0.0662
172	0.9156	0	0.0844
173	0.5576	8e-04	0.4416
174	0.8656	4e-04	0.134
175	0.83	6e-04	0.1694
176	0.704	0.0112	0.2848
177	0.6134	0.0322	0.3544
178	0.2194	0.1846	0.596
179	0.014	0.7992	0.1868
180	0	0.9758	0.0242
181	0.9056	2e-04	0.0942
182	0.7736	0.0128	0.2136
183	0.9226	0	0.0774
184	0.9164	2e-04	0.0834
185	0.0632	0.5182	0.4186
186	0.0084	0.798	0.1936
187	0.9636	0	0.0364
188	0.9664	2e-04	0.0334
189	0.9756	2e-04	0.0242
190	0.9174	4e-04	0.0822
191	0.3752	0.019	0.6058
192	0.3354	0.0044	0.6602
193	0.0232	0.0298	0.947
194	0.009	0.4892	0.5018
195	0.0058	0.6122	0.382
196	0.0026	0.936	0.0614
197	0.0056	0.6736	0.3208
198	0.0066	0.0308	0.9626
199	0.0126	0.0476	0.9398
200	0.044	0.4284	0.5276
201	0.0346	0.179	0.7864
202	0.0788	0.1876	0.7336
203	0.0026	0.4464	0.551
204	0.0048	0.4508	0.5444
205	0.002	0.5224	0.4756
206	0	0.7604	0.2396
207	2e-04	0.8396	0.1602
208	0.0122	0.3226	0.6652
209	8e-04	0.3764	0.6228
210	0.001	0.3224	0.6766
211	0.0016	0.3028	0.6956
212	0.0028	0.3054	0.6918
213	6e-04	0.4534	0.546
214	2e-04	0.9092	0.0906
215	2e-04	0.9666	0.0332
216	0.0052	0.0338	0.961
217	0.0424	0.0054	0.9522
218	0.0568	2e-04	0.943
219	0.056	0.0056	0.9384
220	0.0382	0.0588	0.903
221	0.0314	0.1046	0.864
222	0.0358	0.1372	0.827
223	0.066	4e-04	0.9336
224	0.1608	0.0012	0.838
225	0.1396	0.0026	0.8578
226	0.1268	0.0052	0.868
227	0.0864	0.0536	0.86
228	0.0862	0.0514	0.8624
229	0.0682	0.0456	0.8862
230	0.0522	0.0132	0.9346
231	0.9766	2e-04	0.0232
232	0.0186	0.2432	0.7382
233	0.037	0.3208	0.6422
234	0.0116	0.3974	0.591
235	0.0074	0.6364	0.3562
236	0.0046	0.0892	0.9062
237	0.0052	0.7394	0.2554
238	0.0046	0.813	0.1824
239	0.0012	0.797	0.2018
240	8e-04	0.8382	0.161
241	0.001	0.9662	0.0328
242	4e-04	0.904	0.0956
243	6e-04	0.963	0.0364
244	0	0.9988	0.0012
245	0	0.9986	0.0014
246	0	0.9984	0.0016
247	0	0.9988	0.0012
248	4e-04	0.9278	0.0718
249	0	0.997	0.003
250	0	0.9978	0.0022
251	0	0.9984	0.0016
252	0	0.999	0.001
253	0	0.999	0.001
254	0	0.9954	0.0046
255	0	0.999	0.001
256	0	0.999	0.001
257	0	0.999	0.001
258	0	0.9986	0.0014
259	0	0.9988	0.0012
260	0	0.9962	0.0038
261	0.5768	0	0.4232
262	0.552	8e-04	0.4472
263	0.7744	0.0092	0.2164
264	0.2996	0.028	0.6724
265	0.0562	0.6526	0.2912
266	0.0328	0.0764	0.8908
267	0.0124	0.143	0.8446
268	0.0132	0.3994	0.5874
269	0.0048	0.8644	0.1308
270	0.0142	0.1504	0.8354
271	0.1028	0.1602	0.737
272	0.0046	0.6744	0.321
273	0.001	0.8604	0.1386
274	4e-04	0.9606	0.039
275	0	0.9822	0.0178
276	0	0.9882	0.0118
277	0.0312	0.0846	0.8842
278	0.1246	0.077	0.7984
279	0.1246	0.1532	0.7222
280	0.0086	0.524	0.4674
281	0.0054	0.8194	0.1752
282	0	0.9068	0.0932
283	0	0.9324	0.0676
284	2e-04	0.9564	0.0434
285	2e-04	0.9844	0.0154
286	0	0.947	0.053
287	0	0.9624	0.0376
288	2e-04	0.9786	0.0212
289	0	0.9756	0.0244
290	0	0.9746	0.0254
291	0	0.9806	0.0194
292	0	0.9398	0.0602
293	0	0.9726	0.0274
294	0	0.9442	0.0558
295	0	0.9808	0.0192
296	0	0.9844	0.0156
297	2e-04	0.9902	0.0096
298	0.766	0	0.234
299	0.9974	0	0.0026
300	0.9252	0	0.0748
301	0.9572	2e-04	0.0426
302	0.9244	0	0.0756
303	0.998	0	0.002
304	0.9992	0	8e-04
305	0.6812	0	0.3188
306	0.642	0.0044	0.3536
307	0.994	0	0.006
308	0.9886	0	0.0114
309	0.9956	0	0.0044
310	0.9768	0	0.0232
311	0.98	0	0.02
312	0.3508	0.033	0.6162
313	0.5882	0.0328	0.379
314	0.7552	0.0106	0.2342
315	0.9738	0	0.0262
316	0.6954	0.0242	0.2804
317	0.013	0.6718	0.3152
318	0.0056	0.7508	0.2436
319	0.0054	0.7698	0.2248
320	0.0058	0.8636	0.1306
321	0	0.9878	0.0122
322	0.0028	0.9342	0.063
323	0.0038	0.8788	0.1174
324	0.001	0.9676	0.0314
325	0.003	0.8938	0.1032
326	0	0.9974	0.0026
327	2e-04	0.9972	0.0026
