Arboreal	Non-arboreal	Semi-arboreal
165	0.8016	0.0242	0.1742
166	0.0316	0.8776	0.0908
167	0.8274	0.0406	0.132
168	0.0412	0.0756	0.8832
169	0.0232	0.0552	0.9216
170	0.0104	0.093	0.8966
171	0.0086	0.2046	0.7868
172	0.0086	0.2946	0.6968
173	0.011	0.416	0.573
174	0.013	0.7694	0.2176
175	0.0122	0.1324	0.8554
176	0.005	0.4252	0.5698
177	6e-04	0.7796	0.2198
178	4e-04	0.9278	0.0718
179	8e-04	0.9516	0.0476
180	2e-04	0.8228	0.177
181	2e-04	0.9048	0.095
182	4e-04	0.9692	0.0304
183	0	0.9508	0.0492
184	4e-04	0.968	0.0316
185	0	0.9986	0.0014
186	0	0.9994	6e-04
187	0	0.9996	4e-04
188	0	0.9996	4e-04
189	0	0.9998	2e-04
190	0	0.9954	0.0046
191	0	0.9996	4e-04
192	0	1	0
193	0	1	0
194	0	0.9994	6e-04
195	0	0.9994	6e-04
196	0	0.9986	0.0014
197	0	0.975	0.025
198	0	0.998	0.002
199	0	0.9974	0.0026
200	0	0.9986	0.0014
201	0	0.9976	0.0024
202	0.0188	0.5206	0.4606
203	0.011	0.56	0.429
204	0.0298	0.442	0.5282
205	0.0022	0.5862	0.4116
206	2e-04	0.7716	0.2282
207	0	0.8972	0.1028
208	0	0.948	0.052
209	0.0016	0.57	0.4284
210	0.004	0.6372	0.3588
211	6e-04	0.669	0.3304
212	2e-04	0.669	0.3308
213	0	0.9716	0.0284
214	0	0.9912	0.0088
215	2e-04	0.6022	0.3976
216	6e-04	0.5644	0.435
217	8e-04	0.5606	0.4386
218	0.029	0.6238	0.3472
219	0.079	0.024	0.897
220	0.0842	0.0136	0.9022
221	0.0566	0.0592	0.8842
222	0.0704	0.1512	0.7784
223	0.0168	0.295	0.6882
224	0.0146	0.3484	0.637
225	0.0172	0.361	0.6218
226	0.2338	0.004	0.7622
227	0.2836	0.0022	0.7142
228	0.2688	0.0034	0.7278
229	0.271	0.004	0.725
230	0.2182	0.0686	0.7132
231	0.198	0.0856	0.7164
232	0.1032	0.0638	0.833
233	0.0208	0.2776	0.7016
234	0.0116	0.4244	0.564
235	0.009	0.5274	0.4636
236	0.0212	0.3878	0.591
237	0.9354	8e-04	0.0638
238	0.1522	0.0174	0.8304
239	0.7224	2e-04	0.2774
240	0.881	6e-04	0.1184
241	0.9946	0	0.0054
242	0.89	0.0058	0.1042
243	0.9118	2e-04	0.088
244	0.9862	0	0.0138
245	0.9886	2e-04	0.0112
246	0.9898	2e-04	0.01
247	0.9774	0	0.0226
248	0.9678	0	0.0322
249	0.9358	6e-04	0.0636
250	0.9248	2e-04	0.075
251	0.9974	0	0.0026
252	0.9972	0	0.0028
253	0.7274	8e-04	0.2718
254	0.6504	0.006	0.3436
255	0.0236	0.1706	0.8058
256	0.0144	0.192	0.7936
257	0.0146	0.21	0.7754
258	0.1414	0.2168	0.6418
259	0.1186	0.446	0.4354
260	0.0116	0.3484	0.64
261	0.0092	0.8018	0.189
262	2e-04	0.8862	0.1136
263	0	0.9108	0.0892
264	8e-04	0.9316	0.0676
265	2e-04	0.9686	0.0312
266	2e-04	0.9394	0.0604
267	0	0.9776	0.0224
268	0	0.981	0.019
269	0	0.9878	0.0122
270	2e-04	0.9376	0.0622
271	0	0.9648	0.0352
272	0	0.977	0.023
273	0	0.969	0.031
274	0	0.9668	0.0332
275	0	0.939	0.061
276	4e-04	0.9642	0.0354
277	0	0.9824	0.0176
278	0.0032	0.5308	0.466
279	0.1772	0.4016	0.4212
280	0.002	0.5892	0.4088
281	0.001	0.6614	0.3376
282	6e-04	0.773	0.2264
283	4e-04	0.8382	0.1614
284	0.001	0.8606	0.1384
285	0.0012	0.8684	0.1304
286	0.0034	0.8158	0.1808
287	2e-04	0.951	0.0488
288	0.0198	0.7358	0.2444
289	0.036	0.1116	0.8524
290	0.2676	0.0988	0.6336
291	0.531	0.0582	0.4108
292	0.548	0.098	0.354
293	0.947	0.0014	0.0516
294	0.02	0.269	0.711
295	0.0036	0.8946	0.1018
296	0	0.9866	0.0134
297	0.0032	0.8984	0.0984
298	0	0.9988	0.0012
299	0	0.9972	0.0028
300	0.0148	0.3698	0.6154
301	0.0144	0.4386	0.547
302	0.0212	0.756	0.2228
303	0.0192	0.6626	0.3182
304	4e-04	0.974	0.0256
305	0.8626	0.0118	0.1256
306	0.0058	0.8944	0.0998
307	0.878	0.0074	0.1146
308	0.9566	6e-04	0.0428
309	0.951	6e-04	0.0484
310	0.8098	0.0034	0.1868
311	0.8452	0.0036	0.1512
312	0.8032	0.004	0.1928
313	0.6596	0.0276	0.3128
314	0.6086	0.047	0.3444
315	0.0196	0.7818	0.1986
316	4e-04	0.9474	0.0522
317	0.282	0.2808	0.4372
318	0.896	8e-04	0.1032
319	0.7518	0.028	0.2202
320	0.9188	0	0.0812
321	0.9168	0.0012	0.082
322	0.9122	2e-04	0.0876
323	0.0492	0.5728	0.378
324	0.0066	0.828	0.1654
325	0.9706	0	0.0294
326	0.9804	0	0.0196
327	0.9834	0	0.0166
