Arboreal	Non-arboreal	Semi-arboreal
165	0.8562	0.0044	0.1394
166	0.0172	0.9052	0.0776
167	0.8872	0.0192	0.0936
168	0.8304	0.0172	0.1524
169	0.0022	0.9586	0.0392
170	0.8888	0.0022	0.109
171	0.93	0	0.07
172	0.9118	0	0.0882
173	0.544	0.0018	0.4542
174	0.8694	4e-04	0.1302
175	0.8394	8e-04	0.1598
176	0.7124	0.018	0.2696
177	0.6262	0.0388	0.335
178	0.2222	0.1848	0.593
179	0.016	0.7878	0.1962
180	0	0.9768	0.0232
181	0.9036	4e-04	0.096
182	0.8004	0.0108	0.1888
183	0.9164	0	0.0836
184	0.9102	2e-04	0.0896
185	0.0674	0.554	0.3786
186	0.0074	0.8178	0.1748
187	0.9608	0	0.0392
188	0.9662	0	0.0338
189	0.9754	0	0.0246
190	0.913	8e-04	0.0862
191	0.3872	0.0202	0.5926
192	0.3458	0.0044	0.6498
193	0.0234	0.0332	0.9434
194	0.0094	0.4794	0.5112
195	0.0088	0.6098	0.3814
196	0.0036	0.9264	0.07
197	0.0098	0.6742	0.316
198	0.0074	0.034	0.9586
199	0.0158	0.0484	0.9358
200	0.0444	0.4122	0.5434
201	0.0332	0.1804	0.7864
202	0.0784	0.185	0.7366
203	0.0022	0.4572	0.5406
204	0.0046	0.4552	0.5402
205	0.0016	0.5342	0.4642
206	0.0012	0.7748	0.224
207	6e-04	0.8482	0.1512
208	0.0116	0.332	0.6564
209	0.0014	0.3864	0.6122
210	0.0014	0.3258	0.6728
211	0.0016	0.3006	0.6978
212	0.0036	0.306	0.6904
213	8e-04	0.4796	0.5196
214	0	0.8986	0.1014
215	0	0.9598	0.0402
216	0.0064	0.036	0.9576
217	0.0436	0.006	0.9504
218	0.0536	2e-04	0.9462
219	0.058	0.0062	0.9358
220	0.0412	0.0564	0.9024
221	0.033	0.0966	0.8704
222	0.036	0.1268	0.8372
223	0.0594	2e-04	0.9404
224	0.1602	6e-04	0.8392
225	0.1404	0.0028	0.8568
226	0.1256	0.0052	0.8692
227	0.0866	0.048	0.8654
228	0.092	0.0562	0.8518
229	0.0644	0.0432	0.8924
230	0.0566	0.0152	0.9282
231	0.9816	0	0.0184
232	0.0206	0.2358	0.7436
233	0.0402	0.3164	0.6434
234	0.0128	0.3872	0.6
235	0.0102	0.6286	0.3612
236	0.0058	0.0888	0.9054
237	0.0082	0.7346	0.2572
238	0.0062	0.7986	0.1952
239	4e-04	0.8002	0.1994
240	2e-04	0.834	0.1658
241	8e-04	0.9638	0.0354
242	2e-04	0.9052	0.0946
243	4e-04	0.9672	0.0324
244	0	0.998	0.002
245	0	0.998	0.002
246	0	0.9982	0.0018
247	0	0.9978	0.0022
248	2e-04	0.9296	0.0702
249	0	0.995	0.005
250	0	0.9968	0.0032
251	0	0.9992	8e-04
252	0	0.9988	0.0012
253	0	0.9976	0.0024
254	0	0.996	0.004
255	0	0.9986	0.0014
256	0	0.9988	0.0012
257	0	0.9992	8e-04
258	0	0.9992	8e-04
259	0	0.9992	8e-04
260	0	0.9976	0.0024
261	0.5854	2e-04	0.4144
262	0.5616	0.001	0.4374
263	0.7688	0.008	0.2232
264	0.3088	0.0274	0.6638
265	0.0626	0.656	0.2814
266	0.035	0.0828	0.8822
267	0.015	0.1564	0.8286
268	0.013	0.4064	0.5806
269	0.0036	0.8716	0.1248
270	0.0172	0.1654	0.8174
271	0.1036	0.173	0.7234
272	0.0048	0.6824	0.3128
273	6e-04	0.8644	0.135
274	0	0.9632	0.0368
275	0	0.9842	0.0158
276	0	0.9866	0.0134
277	0.0322	0.0884	0.8794
278	0.1192	0.0836	0.7972
279	0.1184	0.1594	0.7222
280	0.009	0.522	0.469
281	0.0058	0.8216	0.1726
282	2e-04	0.9104	0.0894
283	0	0.9372	0.0628
284	0	0.9552	0.0448
285	4e-04	0.9824	0.0172
286	0	0.9488	0.0512
287	4e-04	0.9692	0.0304
288	2e-04	0.9838	0.016
289	0	0.9784	0.0216
290	0	0.9774	0.0226
291	0	0.983	0.017
292	0	0.9418	0.0582
293	0	0.97	0.03
294	0	0.9458	0.0542
295	0	0.9836	0.0164
296	0	0.9886	0.0114
297	0	0.9938	0.0062
298	0.7656	0	0.2344
299	0.9966	0	0.0034
300	0.9254	0	0.0746
301	0.9622	0	0.0378
302	0.934	0	0.066
303	0.9964	0	0.0036
304	0.9974	0	0.0026
305	0.7158	6e-04	0.2836
306	0.6766	0.0028	0.3206
307	0.993	0	0.007
308	0.9884	0	0.0116
309	0.993	0	0.007
310	0.9736	0	0.0264
311	0.9768	0	0.0232
312	0.3652	0.0334	0.6014
313	0.599	0.0356	0.3654
314	0.7538	0.0102	0.236
315	0.9702	0	0.0298
316	0.6948	0.0224	0.2828
317	0.0148	0.6918	0.2934
318	0.0068	0.768	0.2252
319	0.0062	0.7848	0.209
320	0.0056	0.8734	0.121
321	0	0.9896	0.0104
322	0.003	0.935	0.062
323	0.0034	0.8744	0.1222
324	8e-04	0.9668	0.0324
325	0.0036	0.8916	0.1048
326	0	0.9972	0.0028
327	0	0.9972	0.0028
