Arboreal	Non-arboreal	Semi-arboreal
1	0	1	0
2	0	1	0
3	0	1	0
4	0	1	0
5	0	1	0
6	1	0	0
7	1	0	0
8	1	0	0
9	0	0	1
10	1	0	0
11	1	0	0
12	0	1	0
13	0	1	0
14	0	1	0
15	0	1	0
16	0	1	0
17	1	0	0
18	1	0	0
19	1	0	0
20	1	0	0
21	0	1	0
22	0	1	0
23	1	0	0
24	1	0	0
25	1	0	0
26	1	0	0
27	0	1	0
28	0	1	0
29	0	1	0
30	0	1	0
31	0	1	0
32	0	1	0
33	0	1	0
34	0	1	0
35	0	1	0
36	0	1	0
37	0	1	0
38	0	1	0
39	0	1	0
40	0	1	0
41	0	1	0
42	0	1	0
43	0	1	0
44	0	1	0
45	0	1	0
46	0	1	0
47	0	0.5	0.5
48	0	0.5	0.5
49	0	1	0
50	0	1	0
51	0	1	0
52	0	1	0
53	0	1	0
54	0	1	0
55	0	1	0
56	0	1	0
57	0	1	0
58	0	1	0
59	0	1	0
60	0.5	0.5	0
61	0.5	0.5	0
62	0	0.5	0.5
63	0	0.5	0.5
64	0	0.5	0.5
65	0	1	0
66	0	1	0
67	1	0	0
68	0	1	0
69	0	1	0
70	0	1	0
71	0	1	0
72	0	1	0
73	0	1	0
74	0	1	0
75	0	1	0
76	0	1	0
77	0	1	0
78	0	1	0
79	0	1	0
80	0	1	0
81	0	1	0
82	0	1	0
83	0	1	0
84	0	1	0
85	0	1	0
86	0	1	0
87	0	1	0
88	0	1	0
89	0	1	0
90	0	1	0
91	0	1	0
92	0	1	0
93	0	1	0
94	0	1	0
95	0	1	0
96	0	1	0
97	0.5	0.5	0
98	0.5	0.5	0
99	0.333333333333333	0.333333333333333	0.333333333333333
100	0	1	0
101	0	1	0
102	0	1	0
103	0	1	0
104	0	1	0
105	0	1	0
106	0	1	0
107	0	1	0
108	0	1	0
109	0	1	0
110	0	1	0
111	0	1	0
112	0	1	0
113	0	1	0
114	0	1	0
115	0	1	0
116	0	1	0
117	0	1	0
118	0	1	0
119	0	1	0
120	0	1	0
121	0	1	0
122	0	1	0
123	0	1	0
124	0	1	0
125	0	1	0
126	0	1	0
127	0	1	0
128	0	1	0
129	0	1	0
130	0	1	0
131	0	1	0
132	0	1	0
133	0	1	0
134	1	0	0
135	1	0	0
136	1	0	0
137	1	0	0
138	1	0	0
139	1	0	0
140	1	0	0
141	1	0	0
142	1	0	0
143	1	0	0
144	1	0	0
145	1	0	0
146	1	0	0
147	1	0	0
148	0	1	0
149	0	1	0
150	0.5	0.5	0
151	1	0	0
152	0.5	0.5	0
153	0	1	0
154	0	1	0
155	0	1	0
156	0	1	0
157	0	1	0
158	0	1	0
159	0	1	0
160	0	1	0
161	0	1	0
162	0	1	0
163	0	1	0
