Arboreal	Non-arboreal	Semi-arboreal
165	0.0088	0.98	0.0112
166	0.0112	0.9682	0.0206
167	0.0152	0.969	0.0158
168	2e-04	0.9998	0
169	0	1	0
170	0	1	0
171	0	1	0
172	2e-04	0.9994	4e-04
173	0	0.9986	0.0014
174	0.0018	0.9948	0.0034
175	0	0.9998	2e-04
176	0	0.9996	4e-04
177	0	1	0
178	0	0.9994	6e-04
179	0	0.9998	2e-04
180	0	0.9998	2e-04
181	0	0.9996	4e-04
182	2e-04	0.999	8e-04
183	0	0.9998	2e-04
184	0	0.9994	6e-04
185	0	1	0
186	0	1	0
187	0	1	0
188	0	1	0
189	0	1	0
190	0	1	0
191	0	1	0
192	0	1	0
193	0	1	0
194	0	1	0
195	0	1	0
196	0	1	0
197	0	0.9996	4e-04
198	0	1	0
199	0	1	0
200	0	1	0
201	0	1	0
202	6e-04	0.9974	0.002
203	4e-04	0.9996	0
204	0.0092	0.99	8e-04
205	2e-04	0.9994	4e-04
206	2e-04	0.9998	0
207	0	1	0
208	0	1	0
209	0.0014	0.9852	0.0134
210	0	0.9998	2e-04
211	0	1	0
212	0	1	0
213	0	1	0
214	0	1	0
215	0	0.9856	0.0144
216	2e-04	0.953	0.0468
217	6e-04	0.9456	0.0538
218	0.0074	0.8912	0.1014
219	0.0014	0.9972	0.0014
220	0.0014	0.996	0.0026
221	8e-04	0.9966	0.0026
222	0.0026	0.981	0.0164
223	2e-04	0.9978	0.002
224	2e-04	0.9954	0.0044
225	8e-04	0.99	0.0092
226	0.0732	0.9036	0.0232
227	0.0896	0.8578	0.0526
228	0.0852	0.8544	0.0604
229	0.086	0.8528	0.0612
230	0.0676	0.846	0.0864
231	0.0652	0.8468	0.088
232	0.0054	0.9932	0.0014
233	6e-04	0.9984	0.001
234	2e-04	0.9994	4e-04
235	4e-04	0.999	6e-04
236	0.0028	0.943	0.0542
237	0.956	0.0368	0.0072
238	0.0364	0.9628	8e-04
239	0.864	0.1288	0.0072
240	0.9112	0.0624	0.0264
241	0.9984	0.001	6e-04
242	0.876	0.0434	0.0806
243	0.9778	0.0194	0.0028
244	0.9978	0.0012	0.001
245	0.9986	4e-04	0.001
246	0.9978	8e-04	0.0014
247	0.9962	4e-04	0.0034
248	0.9896	8e-04	0.0096
249	0.9818	0.015	0.0032
250	0.9816	0.0054	0.013
251	1	0	0
252	1	0	0
253	0.921	0.0244	0.0546
254	0.9146	0.0566	0.0288
255	6e-04	0.9994	0
256	0	1	0
257	0	0.9998	2e-04
258	0.0238	0.9412	0.035
259	0.0196	0.877	0.1034
260	0	0.9996	4e-04
261	0.0014	0.9958	0.0028
262	0	1	0
263	0	1	0
264	2e-04	0.9998	0
265	2e-04	0.9994	4e-04
266	0	1	0
267	0	1	0
268	0	1	0
269	0	1	0
270	0	0.9998	2e-04
271	0	1	0
272	0	0.9998	2e-04
273	0	1	0
274	0	1	0
275	2e-04	0.998	0.0018
276	0	0.9998	2e-04
277	0	1	0
278	0	1	0
279	0.083	0.901	0.016
280	0	1	0
281	0	1	0
282	0	1	0
283	0	1	0
284	4e-04	0.999	6e-04
285	0	0.9994	6e-04
286	6e-04	0.9992	2e-04
287	2e-04	0.9992	6e-04
288	0.001	0.995	0.004
289	0	1	0
290	0.0468	0.9456	0.0076
291	0.213	0.7748	0.0122
292	0.2332	0.747	0.0198
293	0.927	0.0574	0.0156
294	0	1	0
295	4e-04	0.999	6e-04
296	4e-04	0.9996	0
297	4e-04	0.999	6e-04
298	0	1	0
299	0	1	0
300	0	1	0
301	0	1	0
302	0.0026	0.9938	0.0036
303	6e-04	0.998	0.0014
304	8e-04	0.9978	0.0014
305	0.1168	0.855	0.0282
306	0.0028	0.9954	0.0018
307	0.13	0.8414	0.0286
308	0.5718	0.0632	0.365
309	0.566	0.0548	0.3792
310	0.2234	0.0286	0.748
311	0.137	0.8534	0.0096
312	0.1284	0.864	0.0076
313	0.0786	0.9124	0.009
314	0.0696	0.9206	0.0098
315	0.0048	0.9936	0.0016
316	0	1	0
317	0.034	0.8504	0.1156
318	0.3516	0.637	0.0114
319	0.3642	0.6168	0.019
320	0.4752	0.5036	0.0212
321	0.505	0.4148	0.0802
322	0.4802	0.4998	0.02
323	0.022	0.9734	0.0046
324	0.0026	0.9962	0.0012
325	0.8838	0.09	0.0262
326	0.9206	0.0452	0.0342
327	0.9374	0.0348	0.0278
