Arboreal	Non-arboreal	Semi-arboreal
165	0.01488	0.96291	0.02221
166	0.011506	0.96632	0.022174
167	0.02128	0.952562	0.026158
168	0.000742	0.99882	0.000438
169	0.001056	0.998844	1e-04
170	8e-06	0.999976	1.6e-05
171	8e-06	0.99996	3.2e-05
172	4.2e-05	0.999814	0.000144
173	0.000236	0.999194	0.00057
174	0.00132	0.995444	0.003236
175	2e-06	0.999968	3e-05
176	2.002002002002e-06	0.999955955955956	4.2042042042042e-05
177	6.06060606060606e-06	0.999969696969697	2.42424242424242e-05
178	0.000256	0.999176	0.000568
179	0.000286	0.99909	0.000624
180	3.6e-05	0.99989	7.4e-05
181	3e-05	0.999882	8.8e-05
182	0.000484	0.998294	0.001222
183	3.2e-05	0.999884	8.4e-05
184	0.000188	0.999378	0.000434
185	4e-06	0.999986	1e-05
186	2e-06	0.999996	2e-06
187	0	1	0
188	0	0.999994	6e-06
189	0	1	0
190	2.4e-05	0.999932	4.4e-05
191	0	1	0
192	0	1	0
193	0	0.999998	2e-06
194	2e-06	0.999996	2e-06
195	4e-06	0.99999	6e-06
196	2e-06	0.999988	1e-05
197	0.000152	0.999396	0.000452
198	0	0.99999	1e-05
199	4e-06	0.99996	3.6e-05
200	0	0.999994	6e-06
201	6e-06	0.999982	1.2e-05
202	0.00028	0.9979	0.00182
203	0.000232	0.999546	0.000222
204	0.005764	0.992646	0.00159
205	0.000178	0.999228	0.000594
206	2.6e-05	0.999834	0.00014
207	4e-06	0.999984	1.2e-05
208	2.6e-05	0.999932	4.2e-05
209	0.00079	0.983838	0.015372
210	4.2e-05	0.999808	0.00015
211	4e-06	0.99982	0.000176
212	6e-06	0.99958	0.000414
213	1.2e-05	0.999912	7.6e-05
214	1.2e-05	0.999962	2.6e-05
215	8.4e-05	0.988584	0.011332
216	0.00028	0.942168	0.057552
217	0.000574	0.935878	0.063548
218	0.007046	0.878456	0.114498
219	0.00081	0.998644	0.000546
220	0.00191	0.995186	0.002904
221	0.000651216685979143	0.996217844727694	0.00313093858632677
222	0.00351	0.97219	0.0243
223	0.00013	0.997496	0.002374
224	0.000182	0.996476	0.003342
225	0.000914	0.987192	0.011894
226	0.052912	0.925712	0.021376
227	0.070414	0.875706	0.05388
228	0.062946	0.866988	0.070066
229	0.064412	0.863342	0.072246
230	0.05107	0.854452	0.094478
231	0.049522	0.857322	0.093156
232	0.004438	0.993748	0.001814
233	0.000456	0.998406	0.001138
