Arboreal	Non-arboreal	Semi-arboreal
165	0.635	0.093	0.272
166	0.015	0.939	0.046
167	0.747	0.09	0.163
168	0.703	0.046	0.251
169	0.001	0.976	0.023
170	0.769	0.012	0.219
171	0.863	0.001	0.136
172	0.84	0	0.16
173	0.458	0	0.542
174	0.73	0.006	0.264
175	0.677	0.007	0.316
176	0.503	0.11	0.387
177	0.374	0.21	0.416
178	0.044	0.82	0.136
179	0.014	0.856	0.13
180	0	0.979	0.021
181	0.843	0	0.157
182	0.768	0.017	0.215
183	0.874	0	0.126
184	0.88	0	0.12
185	0.062	0.678	0.26
186	0.01	0.88	0.11
187	0.961	0	0.039
188	0.979	0	0.021
189	0.978	0	0.022
190	0.867	0.001	0.132
191	0.25	0.045	0.705
192	0.21	0.011	0.779
193	0.017	0.04	0.943
194	0.009	0.524	0.467
195	0.008	0.649	0.343
196	0.001	0.939	0.06
197	0.009	0.701	0.29
198	0.002	0.042	0.956
199	0.006	0.053	0.941
200	0.054	0.416	0.53
201	0.031	0.162	0.807
202	0.084	0.175	0.741
203	0.008	0.496	0.496
204	0.008	0.494	0.498
205	0.003	0.58	0.417
206	0	0.814	0.186
207	0	0.876	0.124
208	0.016	0.248	0.736
209	0.002	0.278	0.72
210	0.012	0.19	0.798
211	0.018	0.153	0.829
212	0.018	0.159	0.823
213	0.001	0.394	0.605
214	0	0.898	0.102
215	0	0.966	0.034
216	0.002	0.044	0.954
217	0.029	0.006	0.965
218	0.035	0	0.965
219	0.039	0.002	0.959
220	0.029	0.065	0.906
221	0.024	0.111	0.865
222	0.023	0.135	0.842
223	0.043	0	0.957
224	0.103	0.001	0.896
225	0.093	0.004	0.903
226	0.086	0.008	0.906
227	0.065	0.064	0.871
228	0.066	0.05	0.884
229	0.05	0.049	0.901
230	0.042	0.008	0.95
231	0.97	0	0.03
232	0.027	0.091	0.882
233	0.056	0.182	0.762
234	0.027	0.13	0.843
235	0.045	0.188	0.767
236	0.002	0.117	0.881
237	0.007	0.739	0.254
238	0.006	0.809	0.185
239	0	0.851	0.149
240	0	0.885	0.115
241	0.001	0.97	0.029
242	0	0.932	0.068
243	0	0.973	0.027
244	0	1	0
245	0	1	0
246	0	0.999	0.001
247	0	0.998	0.002
248	0.001	0.947	0.052
249	0	0.993	0.007
250	0	0.998	0.002
251	0	0.999	0.001
252	0	0.997	0.003
253	0	0.999	0.001
254	0	0.996	0.004
255	0	1	0
256	0	0.999	0.001
257	0	1	0
258	0	0.998	0.002
259	0	0.999	0.001
260	0	0.999	0.001
261	0.393	0	0.607
262	0.378	0.002	0.62
263	0.663	0.01	0.327
264	0.193	0.069	0.738
265	0.048	0.736	0.216
266	0.023	0.145	0.832
267	0.013	0.212	0.775
268	0.014	0.467	0.519
269	0.005	0.889	0.106
270	0.014	0.226	0.76
271	0.104	0.224	0.672
272	0.002	0.733	0.265
273	0	0.899	0.101
274	0	0.977	0.023
275	0	0.989	0.011
276	0	0.99	0.01
277	0.024	0.151	0.825
278	0.092	0.129	0.779
279	0.097	0.211	0.692
280	0.004	0.596	0.4
281	0.006	0.849	0.145
282	0.001	0.922	0.077
283	0	0.947	0.053
284	0	0.963	0.037
285	0	0.982	0.018
286	0	0.961	0.039
287	0	0.979	0.021
288	0	0.986	0.014
289	0	0.988	0.012
290	0	0.987	0.013
291	0	0.987	0.013
292	0	0.96	0.04
293	0	0.987	0.013
294	0	0.959	0.041
295	0	0.986	0.014
296	0	0.988	0.012
297	0	0.996	0.004
298	0.63	0.001	0.369
299	0.994	0	0.006
300	0.878	0	0.122
301	0.931	0	0.069
302	0.908	0	0.092
303	0.998	0	0.002
304	0.998	0	0.002
305	0.714	0.001	0.285
306	0.707	0.003	0.29
307	0.987	0	0.013
308	0.982	0.001	0.017
309	0.987	0	0.013
310	0.961	0	0.039
311	0.967	0	0.033
312	0.237	0.062	0.701
313	0.576	0.056	0.368
314	0.719	0.019	0.262
315	0.967	0.001	0.032
316	0.693	0.029	0.278
317	0.013	0.776	0.211
318	0.006	0.843	0.151
319	0.003	0.861	0.136
320	0.004	0.912	0.084
321	0	0.997	0.003
322	0.003	0.956	0.041
323	0.002	0.924	0.074
324	0.002	0.981	0.017
325	0.003	0.938	0.059
326	0	0.998	0.002
327	0	0.997	0.003
