Arboreal	Non-arboreal	Semi-arboreal
165	0.099	0.795	0.106
166	0.021	0.958	0.021
167	0.076	0.849	0.075
168	0.092	0.869	0.039
169	0.001	0.999	0
170	0.107	0.848	0.045
171	0.661	0.036	0.303
172	0.644	0.028	0.328
173	0.141	0.01	0.849
174	0.087	0.885	0.028
175	0.068	0.909	0.023
176	0.048	0.931	0.021
177	0.037	0.94	0.023
178	0.017	0.867	0.116
179	0.001	0.996	0.003
180	0.001	0.998	0.001
181	0.119	0.832	0.049
182	0.155	0.801	0.044
183	0.132	0.77	0.098
184	0.148	0.76	0.092
185	0.015	0.975	0.01
186	0.003	0.994	0.003
187	0.694	0.214	0.092
188	0.756	0.13	0.114
189	0.86	0.074	0.066
190	0.088	0.443	0.469
191	0.007	0.992	0.001
192	0.012	0.988	0
193	0	1	0
194	0	1	0
195	0	1	0
196	0.002	0.995	0.003
197	0.001	0.998	0.001
198	0	1	0
199	0	0.999	0.001
200	0.01	0.848	0.142
201	0.002	0.998	0
202	0.009	0.99	0.001
203	0	1	0
204	0	0.995	0.005
205	0	1	0
206	0	1	0
207	0	0.999	0.001
208	0	0.999	0.001
209	0	1	0
210	0	0.981	0.019
211	0	0.933	0.067
212	0	0.93	0.07
213	0	1	0
214	0	1	0
215	0	1	0
216	0	1	0
217	0.001	0.999	0
218	0.001	0.996	0.003
219	0.001	0.997	0.002
220	0	0.998	0.002
221	0	0.995	0.005
222	0	0.984	0.016
223	0.001	0.99	0.009
224	0.03	0.925	0.045
225	0.026	0.897	0.077
226	0.02	0.896	0.084
227	0.014	0.885	0.101
228	0.015	0.883	0.102
229	0.002	0.983	0.015
230	0.004	0.996	0
231	0.986	0.009	0.005
232	0	1	0
233	0.004	0.96	0.036
234	0	0.999	0.001
235	0	0.998	0.002
236	0	1	0
237	0	1	0
238	0.001	0.999	0
239	0	1	0
240	0	1	0
241	0	0.999	0.001
242	0	1	0
243	0	0.999	0.001
244	0	1	0
245	0	1	0
246	0	1	0
247	0	1	0
248	0	1	0
249	0	1	0
250	0	1	0
251	0	1	0
252	0	1	0
253	0	1	0
254	0	1	0
255	0	1	0
256	0	1	0
257	0	1	0
258	0	1	0
259	0	1	0
260	0	1	0
261	0.123	0.873	0.004
262	0.113	0.883	0.004
263	0.278	0.453	0.269
264	0.034	0.964	0.002
265	0.006	0.989	0.005
266	0	1	0
267	0	1	0
268	0.001	0.999	0
269	0	0.997	0.003
270	0	1	0
271	0.026	0.966	0.008
272	0	1	0
273	0	1	0
274	0	1	0
275	0	1	0
276	0	1	0
277	0	0.999	0.001
278	0.02	0.949	0.031
279	0.016	0.928	0.056
280	0	1	0
281	0	0.999	0.001
282	0	1	0
283	0	1	0
284	0	0.999	0.001
285	0	0.999	0.001
286	0	1	0
287	0	1	0
288	0	1	0
289	0	1	0
290	0	1	0
291	0	1	0
292	0	0.997	0.003
293	0	1	0
294	0	1	0
295	0	1	0
296	0	1	0
297	0	1	0
298	0.638	0.355	0.007
299	0.997	0.003	0
300	0.939	0.058	0.003
301	0.976	0.019	0.005
302	0.984	0.005	0.011
303	1	0	0
304	1	0	0
305	0.915	0.027	0.058
306	0.911	0.049	0.04
307	0.997	0.003	0
308	0.998	0	0.002
309	0.996	0.003	0.001
310	0.989	0	0.011
311	0.992	0	0.008
312	0.008	0.99	0.002
313	0.14	0.842	0.018
314	0.337	0.643	0.02
315	0.951	0.039	0.01
316	0.352	0.618	0.03
317	0.001	0.999	0
318	0.001	0.999	0
319	0.001	0.999	0
320	0	0.999	0.001
321	0	0.999	0.001
322	0.002	0.998	0
323	0	1	0
324	0	1	0
325	0	0.998	0.002
326	0	1	0
327	0	1	0
