Taxon	Nesting1	Nesting2
Abrocoma	Non-arboreal	Non-arboreal
Acrobates	Arboreal	Arboreal
Aepyprymnus	Non-arboreal	Non-arboreal
Agouti	Non-arboreal	Non-arboreal
Ailuropoda	Non-arboreal	Non-arboreal
Ailurus	Semi-arboreal	Arboreal
Amblysomus	Non-arboreal	Non-arboreal
Anolis	Semi-arboreal	Semi-arboreal
Anomalurus	Arboreal	Arboreal
Antilocapra	Non-arboreal	Non-arboreal
Aplodontia	Non-arboreal	Non-arboreal
Arctocephalus	Non-arboreal	Non-arboreal
Artibeus	Semi-arboreal	Semi-arboreal
Ateles	Arboreal	Arboreal
Bos	Non-arboreal	Non-arboreal
Bradypus	Arboreal	Arboreal
Caenolestes	Non-arboreal	Non-arboreal
Callithrix	Arboreal	Arboreal
Calomyscidae	Non-arboreal	Non-arboreal
Caluromys	Arboreal	Arboreal
Canis	Non-arboreal	Non-arboreal
Caperea	Non-arboreal	Non-arboreal
Capromys	Semi-arboreal	Semi-arboreal
Castor	Non-arboreal	Non-arboreal
Cavia	Non-arboreal	Non-arboreal
Cebus	Arboreal	Arboreal
Ceratotherium	Non-arboreal	Non-arboreal
Cercartetus	Semi-arboreal	Semi-arboreal
Cervus	Non-arboreal	Non-arboreal
Chinchilla	Non-arboreal	Non-arboreal
Choloepus	Arboreal	Arboreal
Chrysochloris	Non-arboreal	Non-arboreal
Craseonycteris	Non-arboreal	Non-arboreal
Cricetus	Non-arboreal	Non-arboreal
Crocuta	Non-arboreal	Non-arboreal
Ctenodactylus	Non-arboreal	Non-arboreal
Ctenomys	Non-arboreal	Non-arboreal
Cyclopes	Arboreal	Arboreal
Cynocephalus	Arboreal	Arboreal
Danio	Non-arboreal	Non-arboreal
Dasyprocta	Non-arboreal	Non-arboreal
Dasypus	Non-arboreal	Non-arboreal
Dasyurus	Semi-arboreal	Non-arboreal
Daubentonia	Arboreal	Arboreal
Delphinapterus	Non-arboreal	Non-arboreal
Didelphis	Semi-arboreal	Semi-arboreal
Dinomys	Non-arboreal	Non-arboreal
Dipodomys	Non-arboreal	Non-arboreal
Dromiciops	Arboreal	Arboreal
Dugong	Non-arboreal	Non-arboreal
Echinops	Non-arboreal	Non-arboreal
Echymipera	Non-arboreal	Non-arboreal
Elephantulus	Non-arboreal	Non-arboreal
Elephas	Non-arboreal	Non-arboreal
Emballonuridae	Semi-arboreal	Semi-arboreal
Equus	Non-arboreal	Non-arboreal
Erethizon	Semi-arboreal	Semi-arboreal
Erinaceus	Non-arboreal	Non-arboreal
Eschrichtius	Non-arboreal	Non-arboreal
Eubalaena	Non-arboreal	Non-arboreal
Felis	Non-arboreal	Non-arboreal
Fossa	Non-arboreal	Non-arboreal
Furipterus	Non-arboreal	Non-arboreal
Galeopterus	Arboreal	Arboreal
Gallus	Non-arboreal	Non-arboreal
Genetta	Non-arboreal	Non-arboreal
Geomyidae	Non-arboreal	Non-arboreal
Gliridae	Arboreal	Arboreal
Glironia	Arboreal	Arboreal
Heterocephalus	Non-arboreal	Non-arboreal
Heterohyrax	Non-arboreal	Non-arboreal
Hippopotamidae	Non-arboreal	Non-arboreal
Hipposideros	Semi-arboreal	Semi-arboreal
Homo	Non-arboreal	Non-arboreal
Hoplomys	Non-arboreal	Non-arboreal
Hydrochaeris	Non-arboreal	Non-arboreal
Hypsiprymnodon	Non-arboreal	Non-arboreal
Hystrix	Non-arboreal	Non-arboreal
Inia	Non-arboreal	Non-arboreal
Isoodon	Non-arboreal	Non-arboreal
Jaculus	Non-arboreal	Non-arboreal
Kogia	Non-arboreal	Non-arboreal
Lama	Non-arboreal	Non-arboreal
Laonastes	Non-arboreal	Non-arboreal
Lemur	Semi-arboreal	Semi-arboreal
Leporidae	Non-arboreal	Non-arboreal
Loxodonta	Non-arboreal	Non-arboreal
Macaca	Semi-arboreal	Semi-arboreal
Macropus	Non-arboreal	Non-arboreal
Macrotis	Non-arboreal	Non-arboreal
Manis_pentadactyla	Non-arboreal	Non-arboreal
Manis_tricuspis	Semi-arboreal	Semi-arboreal
Megaderma	Non-arboreal	Semi-arboreal
Megaptera	Non-arboreal	Non-arboreal
Meles	Non-arboreal	Non-arboreal
Mephitis	Non-arboreal	Non-arboreal
Mesoplodon	Non-arboreal	Non-arboreal
Microcebus	Arboreal	Arboreal
Miniopterus	Non-arboreal	Non-arboreal
Monodelphis	Semi-arboreal	Semi-arboreal
Moschus	Non-arboreal	Non-arboreal
Mus	Non-arboreal	Non-arboreal
Myocastor	Non-arboreal	Non-arboreal
Myotis	Semi-arboreal	Semi-arboreal
Myrmecobius	Non-arboreal	Non-arboreal
Myrmecophaga	Non-arboreal	Non-arboreal
Mystacina	Arboreal	Arboreal
Myzopoda	Arboreal	Arboreal
Nandinia	Arboreal	Arboreal
Natalus	Non-arboreal	Non-arboreal
Noctilio	Semi-arboreal	Semi-arboreal
Nomascus	Arboreal	Arboreal
Notoryctes	Non-arboreal	Non-arboreal
Nycteris	Non-arboreal	Non-arboreal
Nycticebus	Arboreal	Arboreal
Nyctimene	Arboreal	Arboreal
Ochotona	Non-arboreal	Non-arboreal
Octodontomys	Non-arboreal	Non-arboreal
Odobenus	Non-arboreal	Non-arboreal
Okapia	Non-arboreal	Non-arboreal
Ornithorhynchus	Non-arboreal	Non-arboreal
Orycteropus	Non-arboreal	Non-arboreal
Otolemur	Arboreal	Arboreal
Pecari	Non-arboreal	Non-arboreal
Pedetes	Non-arboreal	Non-arboreal
Petaurus	Arboreal	Arboreal
Petromus	Non-arboreal	Non-arboreal
Petromyscus	Non-arboreal	Non-arboreal
Phascolarctos	Arboreal	Arboreal
Phoca	Non-arboreal	Non-arboreal
Phocoena	Non-arboreal	Non-arboreal
Physeter	Non-arboreal	Non-arboreal
Platanista	Non-arboreal	Non-arboreal
Podogymnura	Non-arboreal	Non-arboreal
Pontoporia	Non-arboreal	Non-arboreal
Prionodon	Semi-arboreal	Semi-arboreal
Procavia	Non-arboreal	Non-arboreal
Procyon	Semi-arboreal	Semi-arboreal
Propithecus	Arboreal	Arboreal
Pseudochirops	Arboreal	Arboreal
Pteronotus	Non-arboreal	Non-arboreal
Pteropus	Arboreal	Arboreal
Ptilocercus	Arboreal	Arboreal
Rhinolophus	Non-arboreal	Non-arboreal
Rhinopoma	Non-arboreal	Non-arboreal
Rhynchocyon	Non-arboreal	Non-arboreal
Rhyncholestes	Non-arboreal	Non-arboreal
Sciuridae	Semi-arboreal	Semi-arboreal
Solenodon	Non-arboreal	Non-arboreal
Sorex	Non-arboreal	Non-arboreal
Spalax	Non-arboreal	Non-arboreal
Suricata	Non-arboreal	Non-arboreal
Sus	Non-arboreal	Non-arboreal
Tachyglossus	Non-arboreal	Non-arboreal
Tadarida	Non-arboreal	Non-arboreal
Taeniopygia	Arboreal	Arboreal
Talpa	Non-arboreal	Non-arboreal
Tapirus	Non-arboreal	Non-arboreal
Tarsipes	Semi-arboreal	Arboreal
Tarsius	Arboreal	Arboreal
Thryonomys	Non-arboreal	Non-arboreal
Thyroptera	Arboreal	Arboreal
Tragulus	Non-arboreal	Non-arboreal
Trichechus	Non-arboreal	Semi-arboreal
Trichosurus	Arboreal	Arboreal
Tupaia	Semi-arboreal	Semi-arboreal
Tursiops	Non-arboreal	Non-arboreal
Vombatus	Non-arboreal	Non-arboreal
Xenopus	Non-arboreal	Non-arboreal
