Taxon	Nesting1	Nesting2
Abrocoma_bennettii	Non-arboreal	Non-arboreal
Acrobates_pygmaeus	Arboreal	Arboreal
Aepyprymnus_rufescens	Non-arboreal	Non-arboreal
Ailuropoda_melanoleuca	Non-arboreal	Non-arboreal
Ailurus_fulgens	Semi-arboreal	Arboreal
Amblysomus_hottentotus	Non-arboreal	Non-arboreal
Anomalurus_beecrofti	Arboreal	Arboreal
Antilocapra_americana	Non-arboreal	Non-arboreal
Aplodontia_rufa	Non-arboreal	Non-arboreal
Arctocephalus_forsteri	Non-arboreal	Non-arboreal
Artibeus_jamaicensis	Semi-arboreal	Semi-arboreal
Ateles_fusciceps	Arboreal	Arboreal
Bos_taurus	Non-arboreal	Non-arboreal
Bradypus_tridactylus	Arboreal	Arboreal
Caenolestes_fuliginosus	Non-arboreal	Non-arboreal
Callithrix_jacchus	Arboreal	Arboreal
Calomyscus_bailwardi	Non-arboreal	Non-arboreal
Caluromys_philander	Arboreal	Arboreal
Canis_lupus	Non-arboreal	Non-arboreal
Caperea_marginata	Non-arboreal	Non-arboreal
Capromys_pilorides	Semi-arboreal	Semi-arboreal
Castor_canadensis	Non-arboreal	Non-arboreal
Cavia_porcellus	Non-arboreal	Non-arboreal
Cebus_albifrons	Arboreal	Arboreal
Ceratotherium_simum	Non-arboreal	Non-arboreal
Cercartetus_nanus	Semi-arboreal	Semi-arboreal
Cervus_nippon	Non-arboreal	Non-arboreal
Chinchilla_lanigera	Non-arboreal	Non-arboreal
Choloepus_didactylus	Arboreal	Arboreal
Chrysochloris_asiatica	Non-arboreal	Non-arboreal
Craseonycteris_thonglongyai	Non-arboreal	Non-arboreal
Cratogeomys_castanops	Non-arboreal	Non-arboreal
Cricetus_cricetus	Non-arboreal	Non-arboreal
Crocuta_crocuta	Non-arboreal	Non-arboreal
Ctenodactylus_gundi	Non-arboreal	Non-arboreal
Ctenomys_boliviensis	Non-arboreal	Non-arboreal
Cuniculus_taczanowskii	Non-arboreal	Non-arboreal
Cyclopes_didactylus	Arboreal	Arboreal
Cynocephalus_volans	Arboreal	Arboreal
Dasyprocta_punctata	Non-arboreal	Non-arboreal
Dasypus_novemcinctus	Non-arboreal	Non-arboreal
Dasyurus_albopunctatus	Semi-arboreal	Non-arboreal
Daubentonia_madagascariensis	Arboreal	Arboreal
Delphinapterus_leucas	Non-arboreal	Non-arboreal
Didelphis_virginiana	Semi-arboreal	Semi-arboreal
Dinomys_branickii	Non-arboreal	Non-arboreal
Dipodomys_heermanni	Non-arboreal	Non-arboreal
Dromiciops_gliroides	Arboreal	Arboreal
Dugong_dugon	Non-arboreal	Non-arboreal
Echinops_telfairi	Non-arboreal	Non-arboreal
Echymipera_kalubu	Non-arboreal	Non-arboreal
Elephantulus_rufescens	Non-arboreal	Non-arboreal
Elephas_maximus	Non-arboreal	Non-arboreal
Emballonura_atrata	Semi-arboreal	Semi-arboreal
Equus_caballus	Non-arboreal	Non-arboreal
Erethizon_dorsatum	Semi-arboreal	Semi-arboreal
Erinaceus_europaeus	Non-arboreal	Non-arboreal
Eschrichtius_robustus	Non-arboreal	Non-arboreal
Eubalaena_australis	Non-arboreal	Non-arboreal
Felis_catus	Non-arboreal	Non-arboreal
Fossa_fossana	Non-arboreal	Non-arboreal
Furipterus_horrens	Non-arboreal	Non-arboreal
Galeopterus_variegatus	Arboreal	Arboreal
Genetta_genetta	Non-arboreal	Non-arboreal
Glironia_venusta	Arboreal	Arboreal
Glis_glis	Arboreal	Arboreal
Heterocephalus_glaber	Non-arboreal	Non-arboreal
Heterohyrax_brucei	Non-arboreal	Non-arboreal
Hippopotamus_amphibius	Non-arboreal	Non-arboreal
Hipposideros_commersoni	Semi-arboreal	Semi-arboreal
Homo_sapiens	Non-arboreal	Non-arboreal
Hoplomys_gymnurus	Non-arboreal	Non-arboreal
Hydrochoerus_hydrochaeris	Non-arboreal	Non-arboreal
Hypsiprymnodon_moschatus	Non-arboreal	Non-arboreal
Hystrix_brachyura	Non-arboreal	Non-arboreal
Inia_geoffrensis	Non-arboreal	Non-arboreal
Isoodon_macrourus	Non-arboreal	Non-arboreal
Jaculus_jaculus	Non-arboreal	Non-arboreal
Kogia_breviceps	Non-arboreal	Non-arboreal
Lama_glama	Non-arboreal	Non-arboreal
Laonastes_aenigmamus	Non-arboreal	Non-arboreal
Lemur_catta	Semi-arboreal	Semi-arboreal
Loxodonta_africana	Non-arboreal	Non-arboreal
Macaca_mulatta	Semi-arboreal	Semi-arboreal
Macropus_eugenii	Non-arboreal	Non-arboreal
Macrotis_lagotis	Non-arboreal	Non-arboreal
Manis_pentadactyla	Non-arboreal	Non-arboreal
Megaderma_lyra	Non-arboreal	Semi-arboreal
Megaptera_novaeangliae	Non-arboreal	Non-arboreal
Meles_meles	Non-arboreal	Non-arboreal
Mephitis_mephitis	Non-arboreal	Non-arboreal
Mesoplodon_bidens	Non-arboreal	Non-arboreal
Microcebus_murinus	Arboreal	Arboreal
Miniopterus_manavi	Non-arboreal	Non-arboreal
Monodelphis_domestica	Semi-arboreal	Semi-arboreal
Moschus_cupreus	Non-arboreal	Non-arboreal
Mus_musculus	Non-arboreal	Non-arboreal
Myocastor_coypus	Non-arboreal	Non-arboreal
Myotis_lucifugus	Semi-arboreal	Semi-arboreal
Myrmecobius_fasciatus	Non-arboreal	Non-arboreal
Myrmecophaga_tridactyla	Non-arboreal	Non-arboreal
Mystacina_tuberculata	Arboreal	Arboreal
Myzopoda_aurita	Arboreal	Arboreal
Nandinia_binotata	Arboreal	Arboreal
Natalus_stramineus	Non-arboreal	Non-arboreal
Noctilio_albiventris	Semi-arboreal	Semi-arboreal
Nomascus_leucogenys	Arboreal	Arboreal
Notoryctes_typhlops	Non-arboreal	Non-arboreal
Nycteris_thebaica	Non-arboreal	Non-arboreal
Nycticebus_coucang	Arboreal	Arboreal
Nyctimene_albiventer	Arboreal	Arboreal
Ochotona_princeps	Non-arboreal	Non-arboreal
Octodontomys_gliroides	Non-arboreal	Non-arboreal
Odobenus_rosmarus	Non-arboreal	Non-arboreal
Okapia_johnstoni	Non-arboreal	Non-arboreal
Ornithorhynchus_anatinus	Non-arboreal	Non-arboreal
Orycteropus_afer	Non-arboreal	Non-arboreal
Oryctolagus_cuniculus	Non-arboreal	Non-arboreal
Otolemur_garnettii	Arboreal	Arboreal
Pecari_tajacu	Non-arboreal	Non-arboreal
Pedetes_capensis	Non-arboreal	Non-arboreal
Petaurus_breviceps	Arboreal	Arboreal
Petromus_typicus	Non-arboreal	Non-arboreal
Petromyscus_barbouri	Non-arboreal	Non-arboreal
Phascolarctos_cinereus	Arboreal	Arboreal
Phataginus_tricuspis	Semi-arboreal	Semi-arboreal
Phoca_vitulina	Non-arboreal	Non-arboreal
Phocoena_phocoena	Non-arboreal	Non-arboreal
Physeter_macrocephalus	Non-arboreal	Non-arboreal
Platanista_gangetica	Non-arboreal	Non-arboreal
Podogymnura_truei	Non-arboreal	Non-arboreal
Pontoporia_blainvillei	Non-arboreal	Non-arboreal
Prionodon_linsang	Semi-arboreal	Semi-arboreal
Procavia_capensis	Non-arboreal	Non-arboreal
Procyon_lotor	Semi-arboreal	Semi-arboreal
Propithecus_verreauxi	Arboreal	Arboreal
Pseudochirops_cupreus	Arboreal	Arboreal
Pteronotus_parnellii	Non-arboreal	Non-arboreal
Pteropus_giganteus	Arboreal	Arboreal
Ptilocercus_lowii	Arboreal	Arboreal
Rhinolophus_creaghi	Non-arboreal	Non-arboreal
Rhinopoma_hardwickii	Non-arboreal	Non-arboreal
Rhynchocyon_petersi	Non-arboreal	Non-arboreal
Rhyncholestes_raphanurus	Non-arboreal	Non-arboreal
Solenodon_paradoxus	Non-arboreal	Non-arboreal
Sorex_cinereus	Non-arboreal	Non-arboreal
Spalax_zemni	Non-arboreal	Non-arboreal
Suricata_suricatta	Non-arboreal	Non-arboreal
Sus_scrofa	Non-arboreal	Non-arboreal
Tachyglossus_aculeatus	Non-arboreal	Non-arboreal
Tadarida_brasiliensis	Non-arboreal	Non-arboreal
Talpa_europaea	Non-arboreal	Non-arboreal
Tamias_striatus	Semi-arboreal	Semi-arboreal
Tapirus_indicus	Non-arboreal	Non-arboreal
Tarsipes_rostratus	Semi-arboreal	Arboreal
Tarsius_syrichta	Arboreal	Arboreal
Thryonomys_swinderianus	Non-arboreal	Non-arboreal
Thyroptera_tricolor	Arboreal	Arboreal
Tragulus_napu	Non-arboreal	Non-arboreal
Trichechus_manatus	Non-arboreal	Semi-arboreal
Trichosurus_vulpecula	Arboreal	Arboreal
Tupaia_belangeri	Semi-arboreal	Semi-arboreal
Tursiops_truncatus	Non-arboreal	Non-arboreal
Vombatus_ursinus	Non-arboreal	Non-arboreal
